"P̩riode";"Indice";"idBank"
"2021-01";"87.42";"A"
"2020-12";"84.74";"A"
"2020-11";"83.75";"A"
"2020-10";"85.1";"A"
"2020-09";"90.65";"A"
"2020-08";"87.3";"A"
"2020-07";"87.75";"A"
"2020-06";"86.54";"A"
"2020-05";"92.66";"A"
"2020-04";"73.18";"A"
"2020-03";"88.52";"A"
"2020-02";"96.99";"A"
"2020-01";"85.07";"A"
"2019-12";"93.56";"A"
"2019-11";"95.45";"A"
"2019-10";"93.68";"A"
"2019-09";"91.52";"A"
"2019-08";"90.15";"A"
"2019-07";"88.66";"A"
"2019-06";"97.54";"A"
"2019-05";"88.85";"A"
"2019-04";"102.09";"A"
"2019-03";"98.09";"A"
"2019-02";"96.84";"A"
"2019-01";"98.29";"A"
"2018-12";"86.0";"A"
"2018-11";"88.15";"A"
"2018-10";"91.06";"A"
"2018-09";"89.39";"A"
"2018-08";"86.44";"A"
"2018-07";"92.15";"A"
"2018-06";"92.69";"A"
"2018-05";"91.17";"A"
"2018-04";"90.79";"A"
"2018-03";"85.47";"A"
"2018-02";"92.22";"A"
"2018-01";"95.6";"A"
"2017-12";"95.68";"A"
"2017-11";"100.4";"A"
"2017-10";"96.57";"A"
"2017-09";"101.65";"A"
"2017-08";"106.95";"A"
"2017-07";"104.15";"A"
"2017-06";"94.23";"A"
"2017-05";"106.4";"A"
"2017-04";"99.76";"A"
"2017-03";"106.89";"A"
"2017-02";"101.51";"A"
"2017-01";"99.1";"A"
"2016-12";"107.1";"A"
"2016-11";"100.75";"A"
"2016-10";"103.73";"A"
"2016-09";"101.47";"A"
"2016-08";"107.89";"A"
"2016-07";"106.41";"A"
"2016-06";"103.96";"A"
"2016-05";"104.06";"A"
"2016-04";"101.12";"A"
"2016-03";"102.13";"A"
"2016-02";"99.04";"A"
"2016-01";"112.73";"A"
"2015-12";"102.56";"A"
"2015-11";"98.98";"A"
"2015-10";"102.96";"A"
"2015-09";"103.33";"A"
"2015-08";"102.05";"A"
"2015-07";"94.7";"A"
"2015-06";"99.88";"A"
"2015-05";"98.59";"A"
"2015-04";"100.85";"A"
"2015-03";"96.56";"A"
"2015-02";"100.99";"A"
"2015-01";"98.56";"A"
"2014-12";"101.47";"A"
"2014-11";"101.87";"A"
"2014-10";"104.95";"A"
"2014-09";"103.79";"A"
"2014-08";"97.45";"A"
"2014-07";"101.4";"A"
"2014-06";"98.92";"A"
"2014-05";"94.2";"A"
"2014-04";"104.61";"A"
"2014-03";"108.69";"A"
"2014-02";"107.93";"A"
"2014-01";"106.61";"A"
"2013-12";"101.03";"A"
"2013-11";"105.29";"A"
"2013-10";"88.67";"A"
"2013-09";"89.37";"A"
"2013-08";"92.5";"A"
"2013-07";"91.74";"A"
"2013-06";"95.76";"A"
"2013-05";"98.99";"A"
"2013-04";"95.42";"A"
"2013-03";"89.91";"A"
"2013-02";"99.86";"A"
"2013-01";"96.32";"A"
"2012-12";"92.94";"A"
"2012-11";"97.73";"A"
"2012-10";"95.7";"A"
"2012-09";"92.34";"A"
"2012-08";"97.24";"A"
"2012-07";"107.43";"A"
"2012-06";"97.37";"A"
"2012-05";"94.68";"A"
"2012-04";"94.62";"A"
"2012-03";"93.91";"A"
"2012-02";"90.52";"A"
"2012-01";"93.52";"A"
"2011-12";"95.84";"A"
"2011-11";"90.01";"A"
"2011-10";"96.22";"A"
"2011-09";"97.07";"A"
"2011-08";"98.38";"A"
"2011-07";"104.84";"A"
"2011-06";"94.06";"A"
"2011-05";"91.67";"A"
"2011-04";"95.94";"A"
"2011-03";"102.68";"A"
"2011-02";"85.81";"A"
"2011-01";"95.56";"A"
"2010-12";"87.36";"A"
"2010-11";"95.47";"A"
"2010-10";"94.49";"A"
"2010-09";"95.17";"A"
"2010-08";"91.42";"A"
"2010-07";"94.84";"A"
"2010-06";"91.32";"A"
"2010-05";"94.98";"A"
"2010-04";"89.46";"A"
"2010-03";"96.46";"A"
"2010-02";"96.55";"A"
"2010-01";"96.99";"A"
"2009-12";"94.87";"A"
"2009-11";"94.74";"A"
"2009-10";"93.69";"A"
"2009-09";"95.43";"A"
"2009-08";"91.89";"A"
"2009-07";"95.37";"A"
"2009-06";"95.55";"A"
"2009-05";"98.28";"A"
"2009-04";"94.98";"A"
"2009-03";"98.03";"A"
"2009-02";"97.01";"A"
"2009-01";"91.54";"A"
"2008-12";"124.15";"A"
"2008-11";"96.33";"A"
"2008-10";"98.61";"A"
"2008-09";"96.32";"A"
"2008-08";"90.73";"A"
"2008-07";"96.87";"A"
"2008-06";"107.43";"A"
"2008-05";"102.13";"A"
"2008-04";"104.91";"A"
"2008-03";"94.5";"A"
"2008-02";"97.87";"A"
"2008-01";"104.44";"A"
"2007-12";"110.14";"A"
"2007-11";"100.71";"A"
"2007-10";"96.95";"A"
"2007-09";"99.42";"A"
"2007-08";"114.81";"A"
"2007-07";"103.6";"A"
"2007-06";"105.07";"A"
"2007-05";"100.47";"A"
"2007-04";"108.37";"A"
"2007-03";"104.88";"A"
"2007-02";"102.93";"A"
"2007-01";"104.57";"A"
"2006-12";"105.73";"A"
"2006-11";"102.77";"A"
"2006-10";"100.86";"A"
"2006-09";"103.6";"A"
"2006-08";"107.19";"A"
"2006-07";"102.63";"A"
"2006-06";"102.02";"A"
"2006-05";"103.82";"A"
"2006-04";"101.76";"A"
"2006-03";"102.09";"A"
"2006-02";"100.8";"A"
"2006-01";"101.77";"A"
"2005-12";"102.67";"A"
"2005-11";"102.25";"A"
"2005-10";"101.25";"A"
"2005-09";"99.71";"A"
"2005-08";"104.76";"A"
"2005-07";"100.62";"A"
"2005-06";"98.87";"A"
"2005-05";"99.4";"A"
"2005-04";"96.06";"A"
"2005-03";"95.97";"A"
"2005-02";"99.74";"A"
"2005-01";"100.92";"A"
"2004-12";"103.24";"A"
"2004-11";"103.76";"A"
"2004-10";"103.96";"A"
"2004-09";"106.74";"A"
"2004-08";"101.91";"A"
"2004-07";"105.34";"A"
"2004-06";"102.99";"A"
"2004-05";"99.48";"A"
"2004-04";"100.09";"A"
"2004-03";"101.45";"A"
"2004-02";"103.9";"A"
"2004-01";"103.98";"A"
"2003-12";"102.23";"A"
"2003-11";"92.62";"A"
"2003-10";"97.4";"A"
"2003-09";"98.98";"A"
"2003-08";"85.25";"A"
"2003-07";"93.41";"A"
"2003-06";"96.25";"A"
"2003-05";"98.18";"A"
"2003-04";"101.07";"A"
"2003-03";"97.55";"A"
"2003-02";"94.83";"A"
"2003-01";"94.8";"A"
"2002-12";"92.66";"A"
"2002-11";"100.94";"A"
"2002-10";"98.65";"A"
"2002-09";"100.63";"A"
"2002-08";"107.58";"A"
"2002-07";"100.11";"A"
"2002-06";"103.4";"A"
"2002-05";"104.19";"A"
"2002-04";"99.82";"A"
"2002-03";"104.28";"A"
"2002-02";"104.21";"A"
"2002-01";"101.04";"A"
"2001-12";"95.67";"A"
"2001-11";"96.16";"A"
"2001-10";"100.34";"A"
"2001-09";"95.37";"A"
"2001-08";"97.86";"A"
"2001-07";"100.08";"A"
"2001-06";"102.36";"A"
"2001-05";"102.24";"A"
"2001-04";"103.08";"A"
"2001-03";"99.51";"A"
"2001-02";"101.11";"A"
"2001-01";"101.31";"A"
"2000-12";"101.93";"A"
"2000-11";"101.01";"A"
"2000-10";"99.63";"A"
"2000-09";"94.69";"A"
"2000-08";"101.47";"A"
"2000-07";"100.38";"A"
"2000-06";"94.83";"A"
"2000-05";"96.03";"A"
"2000-04";"98.55";"A"
"2000-03";"98.43";"A"
"2000-02";"93.46";"A"
"2000-01";"96.6";"A"
"1999-12";"96.03";"A"
"1999-11";"101.39";"A"
"1999-10";"102.97";"A"
"1999-09";"99.68";"A"
"1999-08";"94.13";"A"
"1999-07";"96.04";"A"
"1999-06";"100.16";"A"
"1999-05";"96.24";"A"
"1999-04";"91.48";"A"
"1999-03";"96.0";"A"
"1999-02";"102.41";"A"
"1999-01";"96.09";"A"
"1998-12";"101.8";"A"
"1998-11";"98.0";"A"
"1998-10";"94.32";"A"
"1998-09";"99.67";"A"
"1998-08";"101.6";"A"
"1998-07";"98.8";"A"
"1998-06";"95.81";"A"
"1998-05";"94.01";"A"
"1998-04";"101.22";"A"
"1998-03";"101.13";"A"
"1998-02";"95.27";"A"
"1998-01";"101.61";"A"
"1997-12";"103.36";"A"
"1997-11";"101.76";"A"
"1997-10";"99.45";"A"
"1997-09";"100.27";"A"
"1997-08";"106.74";"A"
"1997-07";"107.72";"A"
"1997-06";"102.78";"A"
"1997-05";"104.95";"A"
"1997-04";"100.46";"A"
"1997-03";"100.67";"A"
"1997-02";"102.27";"A"
"1997-01";"103.52";"A"
"1996-12";"100.35";"A"
"1996-11";"93.22";"A"
"1996-10";"101.77";"A"
"1996-09";"102.53";"A"
"1996-08";"87.46";"A"
"1996-07";"100.46";"A"
"1996-06";"95.62";"A"
"1996-05";"109.77";"A"
"1996-04";"98.08";"A"
"1996-03";"103.09";"A"
"1996-02";"102.33";"A"
"1996-01";"96.68";"A"
"1995-12";"95.9";"A"
"1995-11";"102.32";"A"
"1995-10";"101.17";"A"
"1995-09";"100.47";"A"
"1995-08";"95.81";"A"
"1995-07";"96.86";"A"
"1995-06";"102.53";"A"
"1995-05";"97.13";"A"
"1995-04";"102.56";"A"
"1995-03";"96.42";"A"
"1995-02";"89.54";"A"
"1995-01";"95.46";"A"
"1994-12";"106.78";"A"
"1994-11";"95.24";"A"
"1994-10";"89.38";"A"
"1994-09";"95.82";"A"
"1994-08";"94.9";"A"
"1994-07";"92.68";"A"
"1994-06";"94.7";"A"
"1994-05";"94.73";"A"
"1994-04";"94.34";"A"
"1994-03";"94.29";"A"
"1994-02";"98.61";"A"
"1994-01";"103.79";"A"
"1993-12";"96.71";"A"
"1993-11";"93.01";"A"
"1993-10";"99.99";"A"
"1993-09";"97.08";"A"
"1993-08";"94.63";"A"
"1993-07";"93.45";"A"
"1993-06";"87.56";"A"
"1993-05";"90.14";"A"
"1993-04";"87.17";"A"
"1993-03";"87.65";"A"
"1993-02";"86.65";"A"
"1993-01";"84.14";"A"
"1992-12";"91.52";"A"
"1992-11";"93.31";"A"
"1992-10";"93.93";"A"
"1992-09";"90.98";"A"
"1992-08";"94.26";"A"
"1992-07";"95.24";"A"
"1992-06";"98.97";"A"
"1992-05";"100.49";"A"
"1992-04";"98.21";"A"
"1992-03";"98.31";"A"
"1992-02";"99.24";"A"
"1992-01";"96.04";"A"
"1991-12";"94.82";"A"
"1991-11";"96.58";"A"
"1991-10";"91.54";"A"
"1991-09";"92.99";"A"
"1991-08";"93.02";"A"
"1991-07";"92.72";"A"
"1991-06";"96.39";"A"
"1991-05";"94.37";"A"
"1991-04";"96.96";"A"
"1991-03";"97.26";"A"
"1991-02";"94.01";"A"
"1991-01";"96.6";"A"
"1990-12";"94.79";"A"
"1990-11";"90.1";"A"
"1990-10";"85.87";"A"
"1990-09";"103.36";"A"
"1990-08";"95.5";"A"
"1990-07";"97.2";"A"
"1990-06";"99.0";"A"
"1990-05";"96.84";"A"
"1990-04";"98.5";"A"
"1990-03";"99.11";"A"
"1990-02";"100.93";"A"
"1990-01";"101.55";"A"
